Player,Position,Height,Weight,NationalRank,PositionRank,StateRank,HighSchool,City,State,CommittedTo
Tom Tom Johnson Jr.,S,6-2,200,222,15,34,South Sumter,Bushnell,FL,Texas A&M
Tylon Lee,DL,6-4,245,223,22,35,Pace,Pace,FL,Florida State
Terry Shelton,WR,6-4,200,224,29,29,Ranchview,Carrollton,TX,TCU
Jordon Gidron,WR,6-2,185,225,30,7,Ridge View,Columbia,SC,South Carolina
Nicolas Clayton,EDGE,6-4.5,215,226,23,36,Buchholz,Gainesville,FL,Wisconsin
Chace Sims,DL,6-3,280,227,23,30,Randle,Richmond,TX,Texas A&M
Andrew Maddox,DL,6-3,265,228,24,8,Oak Grove,Hattiesburg,MS,Ole Miss
Jayden Sanders,CB,6-2,172,229,24,31,Kilgore,Kilgore,TX,Michigan
Jontae Gilbert,S,6-1,185,230,16,29,Douglass,Atlanta,GA,Georgia
Antonio Coleman,DL,6-2,275,231,25,15,Saraland,Saraland,AL,Auburn
Luke Nickel,QB,6-2,205,232,19,30,Milton,Alpharetta,GA,Miami
Daeden Hopkins,EDGE,6-6,210,233,24,2,Hermann,Hermann,MO,Missouri
Tyshun Willis,EDGE,6-1,230,234,25,9,Velma Jackson,Camden,MS,Mississippi State
TJ Dice Jr.,OT,6-4,295,235,24,31,Langston Hughes,Fairburn,GA,Florida
Anthony Sacca,LB,6-3,225,236,25,5,St. Joseph's Prep,Philadelphia,PA,Notre Dame
Trestin Castro,CB,6-2,177,237,25,20,Upland,Upland,CA,USC
Herbert Scroggins III,EDGE,6-2,235,238,26,32,Benedictine Military School,Savannah,GA,Miami
Nick Brooks,OT,6-7,345,239,25,33,Grayson,Loganville,GA,Texas
TJ Lateef,QB,6-1.5,185,240,20,21,Orange Lutheran,Orange,CA,Nebraska
Zelus Hicks,S,6-2,190,241,17,34,Carrollton,Carrollton,GA,Texas
Chris Ewald Jr.,CB,6-0,165,242,26,37,Chaminade-Madonna,Hollywood,FL,Miami
Kaleb Burns,LB,6-0,220,243,26,32,Cy Falls,Houston,TX,Baylor
Demetres Samuel Jr.,S,6-0,185,244,18,38,Heritage,Palm Bay,FL,Syracuse
Tramell Jones Jr.,QB,6-0,196,245,21,39,Mandarin,Jacksonville,FL,Florida
Peyton Joseph,IOL,6-3,309,246,12,35,Houston County,Warner Robins,GA,Georgia Tech
Kellen Wiley Jr.,LB,6-4,225,247,27,40,Armwood,Seffner,FL,Miami
Jahmir Joseph,CB,6-0,185,248,27,5,St. Joseph Regional,Montvale,NJ,Penn State
Thomas Blackshear,WR,6-1,197,249,31,36,Calvary Day School,Savannah,GA,Georgia
Mason Short,IOL,6-5.5,305,250,13,37,Evans,Evans,GA,Georgia
Cameron Dyer,ATH,6-4,202,251,10,2,La Cueva,Albuquerque,NM,Arizona State
Burke Gautcher,LB,6-3,200,252,28,6,Sycamore,Sycamore,IL,Iowa
Epi Sitanilei,EDGE,6-5,220,253,27,22,St. John Bosco,Bellflower,CA,Ohio State
Joseph Mbatchou,DL,6-4.5,275,254,26,38,Grayson,Loganville,GA,Florida
Cobey Sellers,CB,5-11.5,175,255,28,33,Shadow Creek,Pearland,TX,Texas A&M
Adedamola Ajidahun,OT,6-6,280,256,26,39,Duluth,Duluth,GA,South Carolina
Omarion Robinson,S,6-0,171,257,19,2,Parkview Magnet,Little Rock,AR,Oklahoma
Byron Baldwin Jr.,S,6-1.5,190,258,20,6,St. Frances Academy,Baltimore,MD,Indiana
Wydeek Collier,EDGE,6-7,215,259,28,6,Neumann Goretti,Philadelphia,PA,Rutgers
Martels Carter Jr.,S,6-0.5,190,260,21,2,Paducah Tilghman,Paducah,KY,Kentucky
Nic Moore,IOL,6-2.5,300,261,14,5,Jefferson County,Dandridge,TN,Tennessee
Cortez Thomas,S,6-0.5,180,262,22,10,Holmes County,Lexington,MS,Ole Miss
Logan Anderson,LB,6-2,218,263,29,16,Fyffe,Fyffe,AL,Clemson
Jaylen Williams,DL,6-6,265,264,27,7,Palatine,Palatine,IL,Wisconsin
Tobi Haastrup,EDGE,6-2.5,232,265,29,34,Mayde Creek,Houston,TX,Oregon
Brock Schott,TE,6-3,215,266,13,5,Leo,Leo,IN,Miami
Winston Watkins Jr.,WR,5-10,172,267,32,41,Venice,Venice,FL,Ole Miss
Tory Blaylock,RB,5-10,195,268,17,35,Humble Atascocita,Humble,TX,Oklahoma
Radarious Jackson,WR,6-2,195,269,33,6,Sheffield,Memphis,TN,Tennessee
Thomas Meyer,TE,6-5,210,270,14,1,Clear Lake,Clear Lake,IA,Iowa
Isaiah Mizell,WR,6-0,160,271,34,42,Boone,Orlando,FL,Arizona
Malcolm Simpson,DL,6-3,255,272,28,36,Hitchcock,Hitchcock,TX,Nebraska
Madden Iamaleava,QB,6-2,200,273,22,23,Long Beach Poly,Long Beach,CA,Arkansas
Jaylan Morgan,S,6-0,180,274,23,7,Rockvale,Rockvale,TN,Georgia
Marcus Garcia,OT,6-5,270,275,27,37,Denton Ryan,Denton,TX,Texas A&M
Phillip Bell,WR,6-2,195,276,35,24,Mission Viejo,Mission Viejo,CA,Ohio State
Javeon Campbell,DL,6-5,265,277,29,3,Western Hills,Frankfort,KY,Kentucky
Ty Hawkins,QB,6-0.5,195,278,23,43,IMG Academy,Bradenton,FL,SMU
Je'rel Bolder,WR,6-0,192,279,36,8,Forest Hills,Marshville,NC,NC State
Avery Gach,IOL,6-5,290,280,15,3,Wylie E. Groves,Franklin,MI,Michigan
Nelson McGuire,IOL,6-4,320,281,16,38,Midlothian,Midlothian,TX,Texas A&M
Michael Turner,RB,5-11.5,200,282,18,39,Richland,North Richland Hills,TX,Baylor
Ladarian Clardy,S,5-10.5,175,283,24,44,Escambia,Pensacola,FL,Ole Miss
Bodpegn Miller,ATH,6-4,180,284,11,8,Ontario,Mansfield,OH,Ohio State
Jasper Parker,RB,6-0,189,285,19,10,Archbishop Shaw,Marrero,LA,Michigan
Marshall Pritchett,TE,6-5,211,286,15,40,Rabun Gap-Nacoochee,Rabun Gap,GA,Alabama
