School,School_City,School_State,Conference,Division,School_Latitude,School_Longitude
Texas,Austin,TX,SEC,FBS,30.3005,-97.7522
Texas A&M,College Station,TX,SEC,FBS,30.5852,-96.2959
Texas State,San Marcos,TX,Sun Belt,FBS,29.8734,-97.9356
Texas Tech,Lubbock,TX,Big 12,FBS,33.5657,-101.8879
Toledo,Toledo,OH,MAC,FBS,41.6638,-83.5827
Troy,Troy,AL,Sun Belt,FBS,31.8021,-85.9664
Tulane,New Orleans,LA,American,FBS,30.0687,-89.9288
Tulsa,Tulsa,OK,American,FBS,36.1283,-95.9042
UAB,Birmingham,AL,American,FBS,33.5279,-86.7971
UCF,Orlando,FL,Big 12,FBS,28.4773,-81.337
UCLA,Los Angeles,CA,Big Ten,FBS,34.1141,-118.4068
UConn,Storrs,CT,Independent,FBS,41.8083,-72.2514
ULM,Monroe,LA,Sun Belt,FBS,32.5185,-92.0774
UMass,Amherst,MA,MAC,FBS,42.3731948,-72.5198761
UNLV,Las Vegas,NV,Mountain West,FBS,36.2333,-115.2654
USC,Los Angeles,CA,Big Ten,FBS,34.1141,-118.4068
Utah,Salt Lake City,UT,Big 12,FBS,40.7776,-111.9311
Utah State,Logan,UT,Mountain West,FBS,41.7399,-111.8422
UTEP,El Paso,TX,CUSA,FBS,31.8476,-106.43
UTSA,San Antonio,TX,American,FBS,29.4632,-98.5238
Vanderbilt,Nashville,TN,SEC,FBS,36.1715,-86.7842
Virginia,Charlottesville,VA,ACC,FBS,38.0375,-78.4855
Virginia Tech,Blacksburg,VA,ACC,FBS,37.23,-80.4279
Wake Forest,Winston-Salem,NC,ACC,FBS,36.1029,-80.261
Washington,Seattle,WA,Big Ten,FBS,47.6211,-122.3244
Washington State,Pullman,WA,Pac-12,FBS,46.7336,-117.168
West Virginia,Morgantown,WV,Big 12,FBS,39.6383,-79.9464
Western Kentucky,Bowling Green,KY,CUSA,FBS,36.9716,-86.4378
Western Michigan,Kalamazoo,MI,MAC,FBS,42.2749,-85.5882
Wisconsin,Madison,WI,Big Ten,FBS,43.0822,-89.393
Wyoming,Laramie,WY,Mountain West,FBS,41.3099,-105.6085
Abilene Christian,Abilene,TX,UAC,FCS,32.4543,-99.7384
Alabama A&M,Normal,AL,SWAC,FCS,34.7889792,-86.5719369
Alabama State,Montgomery,AL,SWAC,FCS,32.3482,-86.2668
Albany,Albany,NY,CAA Football,FCS,42.6664,-73.7987
Alcorn State,Lorman,MS,SWAC,FCS,31.8204396,-91.0501057
Arkansas–Pine Bluff,Pine Bluff,AR,SWAC,FCS,34.2116,-92.0173
Austin Peay,Clarksville,TN,UAC,FCS,36.5692,-87.3413
Bethune–Cookman,Daytona Beach,FL,SWAC,FCS,29.1995,-81.0982
Brown,Providence,RI,Ivy,FCS,41.823,-71.4187
Bryant,Smithfield,RI,CAA Football,FCS,41.9220433,-71.549507
Bucknell,Lewisburg,PA,Patriot,FCS,40.9641,-76.8901
Butler,Indianapolis,IN,PFL,FCS,39.7771,-86.1458
Cal Poly,San Luis Obispo,CA,Big Sky,FCS,35.2669,-120.669
